animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
72010421,05-3363,74020093,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77440620,321-0056,77724621,Female,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702792,2344,2019,Male,Adrm1,P56,coronal,ISH,2,Nothing,1.63
77407879,321-0137,78591308,Male,Zeb2,P56,coronal,ISH,2,Nothing,1.049
78093663,321-0722,78544983,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
77799990,321-0497,78557206,Male,Etv1,P56,coronal,ISH,2,Nothing,1.049
70309779,05-2268,71015807,Male,Tmeff2,P56,coronal,ISH,2,Nothing,1.049
71414845,05-3103,73475194,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702779,2330,1543,Male,Tm7sf3,P56,coronal,ISH,2,Nothing,1.63
101235,04-0283,70901652,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73620045,05-3685,74472904,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
75064301,06-0442,75651168,Male,Smdt1,P56,coronal,ISH,2,Nothing,1.049
75808658,06-0693,76115727,Male,Ckm,P56,coronal,ISH,2,Nothing,1.049
104509,04-0354,71836229,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702804,2358,2183,Male,Eif5a,P56,coronal,ISH,2,Nothing,1.63
72008723,05-3347,73987014,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74495210,06-0178,74748742,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77415317,321-0160,77764121,Male,Avpr1a,P56,coronal,ISH,2,Nothing,1.049
71993643,05-3329,73931404,Male,Flrt3,P56,coronal,ISH,2,Nothing,1.049
72966804,05-3495,74273116,Male,Slc26a10,P56,coronal,ISH,2,Nothing,1.049
74625622,06-0229,74812304,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
382818,04-0667,72109296,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
75195194,06-0489,75774112,Male,Tmem168,P56,coronal,ISH,2,Nothing,1.049
79355626,335-1135,79591577,Male,Ltn1,P56,coronal,ISH,2,Nothing,1.049
71339158,05-3061,72588999,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74481146,06-0166,74696792,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73651943,05-3719,74581451,Male,Sh3rf1,P56,coronal,ISH,2,Nothing,1.049
70430200,05-2391,71174998,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
104436,04-0336,70916848,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74357307,06-0121,74800893,Male,Psme2,P56,coronal,ISH,2,Nothing,1.049
